deviceID,seconds,beaconID,rssi
03,24570,bcn3-2,-66
03,24600,bcn3-2,-64
03,24630,bcn3-9,-77
03,24660,bcn3-1,-64
03,24690,bcn3-1,-67
03,24720,bcn3-2,-68
03,24750,bcn3-2,-69
03,24780,bcn3-3,-72
03,24810,bcn3-3,-61
03,24840,bcn3-3,-64
03,24870,bcn3-2,-62
03,24900,bcn3-1,-66
03,24930,bcn3-2,-62
03,24960,bcn3-2,-68
03,24990,bcn3-2,-63
03,25020,bcn3-2,-63
03,25050,bcn3-2,-66
03,25080,bcn3-2,-67
03,25110,bcn3-1,-61
03,25140,bcn3-1,-60
03,25170,bcn3-2,-66
03,25200,bcn3-1,-62
03,25230,bcn3-1,-67
03,25260,bcn3-2,-68
03,25290,bcn3-1,-61
03,25320,bcn3-2,-72
03,25350,bcn3-1,-67
03,25380,bcn3-5,-75
03,25410,bcn3-5,-66
03,25440,bcn3-5,-62
03,25470,bcn3-5,-66
03,25500,bcn3-9,-72
03,25530,bcn3-5,-64
03,25560,bcn3-5,-55
03,25590,bcn3-5,-69
03,25620,bcn3-5,-64
03,25650,bcn3-5,-67
03,25680,bcn3-5,-64
03,25710,bcn3-4,-68
03,25740,bcn3-5,-61
03,25770,bcn3-5,-58
03,25800,bcn3-5,-56
03,25830,bcn3-5,-69
03,25860,bcn3-5,-61
03,25890,bcn3-4,-66
03,25920,bcn3-1,-70
03,25950,bcn3-5,-63
03,25980,bcn3-5,-59
03,26010,bcn3-5,-72
03,26040,bcn3-4,-77
03,26070,bcn3-10,-89
03,26100,bcn3-8,-85
03,26130,bcn3-3,-71
03,26160,bcn3-5,-81
03,26190,bcn3-2,-75
03,26220,bcn3-9,-78
03,26250,bcn3-8,-73
03,26280,bcn3-8,-82
03,26310,bcn3-5,-66
03,26340,bcn3-5,-71
03,26370,bcn3-9,-71
03,26400,bcn3-5,-60
03,26430,bcn3-1,-77
03,26460,bcn3-5,-66
03,26490,bcn3-5,-58
03,26520,bcn3-5,-62
03,26550,bcn3-5,-60
03,26580,bcn3-5,-58
03,26610,bcn3-5,-60
03,26640,bcn3-5,-62
03,26670,bcn3-5,-59
03,26700,bcn3-5,-64
03,26730,bcn3-5,-67
03,26760,bcn3-5,-63
03,26790,bcn3-8,-72
03,26820,bcn3-8,-72
03,26850,bcn3-4,-74
03,26880,bcn3-5,-62
03,26910,bcn3-5,-62
03,26940,bcn3-5,-72
03,26970,bcn3-5,-61
03,27000,bcn3-5,-63
03,27030,bcn3-9,-75
03,27060,bcn3-5,-62
03,27090,bcn3-5,-67
03,27120,bcn3-5,-65
03,27150,bcn3-5,-75
03,27180,bcn3-5,-60
03,27210,bcn3-9,-73
03,27240,bcn3-5,-62
03,27270,bcn3-5,-59
03,27300,bcn3-5,-65
03,27330,bcn3-5,-64
03,27360,bcn3-5,-61
03,27390,bcn3-5,-73
03,27420,bcn3-5,-70
03,27450,bcn3-5,-59
03,27480,bcn3-5,-60
03,27510,bcn3-5,-67
03,27540,bcn3-5,-59
03,27570,bcn3-5,-66
03,27600,bcn3-5,-65
03,27630,bcn3-5,-55
03,27660,bcn3-9,-76
03,27690,bcn3-5,-57
03,27720,bcn3-5,-71
03,27750,bcn3-5,-62
03,27780,bcn3-5,-56
03,27810,bcn3-5,-76
03,27840,bcn3-4,-70
